time (min),area (µm²),bacterium
4153.0,1.7873439999999998,2
4154.0,1.795456,2
4155.0,1.79816,2
4156.0,1.8035679999999998,2
4157.0,1.83872,2
4158.0,1.841424,2
4159.0,1.8468319999999998,2
4160.0,1.8495359999999998,2
4161.0,1.868464,2
4162.0,1.887392,2
4163.0,1.8819839999999999,2
4164.0,1.8955039999999999,2
4165.0,1.9063199999999998,2
4166.0,1.9252479999999998,2
4167.0,1.9604,2
4168.0,1.9549919999999998,2
4169.0,1.9604,2
4170.0,1.9685119999999998,2
4171.0,1.9955519999999998,2
4172.0,1.9982559999999998,2
4173.0,2.030704,2
4174.0,2.028,2
4175.0,2.0361119999999997,2
4176.0,2.060448,2
4177.0,2.073968,2
4178.0,2.073968,2
4179.0,2.0928959999999996,2
4180.0,2.090192,2
4181.0,2.133456,2
4182.0,2.146976,2
4183.0,2.1523839999999996,2
4184.0,2.1604959999999997,2
4185.0,2.168608,2
4186.0,2.1848319999999997,2
4187.0,2.201056,2
4188.0,2.211872,2
4189.0,2.2524319999999998,2
4190.0,2.2443199999999996,2
4191.0,2.260544,2
4192.0,2.268656,2
4193.0,2.2984,2
4194.0,2.2821759999999998,2
4195.0,2.3335519999999996,2
4196.0,2.32544,2
4197.0,2.347072,2
4198.0,2.344368,2
4199.0,2.3687039999999997,2
4200.0,2.387632,2
4201.0,2.3957439999999997,2
4202.0,2.4038559999999998,2
4203.0,2.4281919999999997,2
4204.0,2.449824,2
4205.0,2.4633439999999998,2
4206.0,2.482272,2
4207.0,2.4849759999999996,2
4208.0,2.512016,2
4209.0,2.5147199999999996,2
4210.0,2.52824,2
4211.0,2.54176,2
4212.0,2.5525759999999997,2
4213.0,2.563392,2
4214.0,2.590432,2
4215.0,2.590432,2
4216.0,2.647216,2
4217.0,2.66344,2
4218.0,2.6661439999999996,2
4219.0,2.685072,2
4220.0,2.6985919999999997,2
4221.0,2.722928,2
4222.0,2.6985919999999997,2
4223.0,2.7067039999999998,2
4224.0,2.722928,2
4225.0,2.722928,2
4226.0,2.749968,2
4228.0,1.5007199999999998,2
4229.0,1.479088,2
4230.0,1.4709759999999998,2
4231.0,1.4871999999999999,2
4232.0,1.479088,2
4233.0,1.387152,2
4234.0,1.4871999999999999,2
4235.0,1.5169439999999998,2
4236.0,1.5304639999999998,2
4237.0,1.5169439999999998,2
4238.0,1.5575039999999998,2
4239.0,1.5439839999999998,2
4240.0,1.552096,2
4241.0,1.584544,2
4242.0,1.6088799999999999,2
4243.0,1.6196959999999998,2
4244.0,1.6196959999999998,2
4245.0,1.641328,2
4246.0,1.6494399999999998,2
4247.0,1.660256,2
4248.0,1.6656639999999998,2
4249.0,1.6791839999999998,2
4250.0,1.692704,2
4251.0,1.6818879999999998,2
4252.0,1.687296,2
4253.0,1.7143359999999999,2
4254.0,1.7305599999999999,2
4255.0,1.746784,2
4256.0,1.71704,2
4257.0,1.7413759999999998,2
4258.0,1.733264,2
4259.0,1.792752,2
4260.0,1.81168,2
4261.0,1.8062719999999999,2
4262.0,1.8197919999999999,2
4263.0,1.827904,2
4264.0,1.8252,2
4265.0,1.868464,2
4266.0,1.8468319999999998,2
4267.0,1.8819839999999999,2
4268.0,1.900912,2
4269.0,1.8900959999999998,2
4270.0,1.8955039999999999,2
4271.0,1.9414719999999999,2
4272.0,1.9279519999999999,2
4273.0,1.94688,2
4274.0,1.9549919999999998,2
4275.0,1.97392,2
4276.0,1.9874399999999999,2
4277.0,2.0063679999999997,2
4278.0,2.030704,2
4279.0,2.028,2
4280.0,2.04152,2
4281.0,2.044224,2
4282.0,2.057744,2
4283.0,2.0658559999999997,2
4284.0,2.08208,2
4285.0,2.08208,2
4286.0,2.111824,2
4287.0,2.103712,2
4288.0,2.1280479999999997,2
4289.0,2.1280479999999997,2
4290.0,2.141568,2
4291.0,2.1632,2
4292.0,2.1632,2
4293.0,2.198352,2
4294.0,2.195648,2
4295.0,2.195648,2
4296.0,2.238912,2
4297.0,2.241616,2
4298.0,2.28488,2
4299.0,2.2470239999999997,2
4300.0,2.265952,2
4301.0,2.3038079999999996,2
4302.0,2.3416639999999997,2
4303.0,2.32544,2
4304.0,2.322736,2
4305.0,2.322736,2
4306.0,2.382224,2
4307.0,2.37952,2
4308.0,2.376816,2
4309.0,2.4281919999999997,2
4310.0,2.444416,2
4311.0,2.4552319999999996,2
4312.0,2.466048,2
4313.0,2.498496,2
4314.0,2.506608,2
4315.0,2.509312,2
4316.0,2.512016,2
4317.0,2.4849759999999996,2
4318.0,2.503904,2
4320.0,1.251952,2
4321.0,1.254656,2
4322.0,1.27088,2
4323.0,1.254656,2
4324.0,1.265472,2
4325.0,1.2600639999999999,2
4326.0,1.281696,2
4327.0,1.27088,2
4328.0,1.2844,2
4329.0,1.2871039999999998,2
4330.0,1.2844,2
4331.0,1.2844,2
4332.0,1.31144,2
4333.0,1.3357759999999999,2
4334.0,1.327664,2
4335.0,1.341184,2
4336.0,1.357408,2
4337.0,1.3682239999999999,2
4338.0,1.360112,2
4339.0,1.376336,2
4340.0,1.3979679999999999,2
4341.0,1.3979679999999999,2
4342.0,1.3979679999999999,2
4343.0,1.40608,2
4344.0,1.414192,2
4345.0,1.4223039999999998,2
4346.0,1.4277119999999999,2
4347.0,1.435824,2
4348.0,1.4439359999999999,2
4349.0,1.4385279999999998,2
4350.0,1.4736799999999999,2
4351.0,1.4736799999999999,2
4352.0,1.4844959999999998,2
4353.0,1.479088,2
4354.0,1.5169439999999998,2
4355.0,1.508832,2
4356.0,1.5304639999999998,2
4357.0,1.5466879999999998,2
4358.0,1.552096,2
4359.0,1.5466879999999998,2
4360.0,1.5602079999999998,2
4361.0,1.552096,2
4362.0,1.5764319999999998,2
4363.0,1.587248,2
4364.0,1.6034719999999998,2
4365.0,1.600768,2
4366.0,1.6061759999999998,2
4367.0,1.6386239999999999,2
4368.0,1.6386239999999999,2
4369.0,1.660256,2
4370.0,1.6656639999999998,2
4371.0,1.67648,2
4372.0,1.673776,2
4373.0,1.7008159999999999,2
4374.0,1.6954079999999998,2
4375.0,1.7116319999999998,2
4376.0,1.719744,2
4377.0,1.735968,2
4378.0,1.7386719999999998,2
4379.0,1.7440799999999999,2
4380.0,1.746784,2
4381.0,1.779232,2
4382.0,1.781936,2
4383.0,1.8170879999999998,2
4384.0,1.8062719999999999,2
4385.0,1.81168,2
4386.0,1.8252,2
4387.0,1.857648,2
4388.0,1.857648,2
4389.0,1.8819839999999999,2
4390.0,1.8900959999999998,2
4391.0,1.898208,2
4392.0,1.887392,2
4393.0,1.900912,2
4394.0,1.9360639999999998,2
4395.0,1.944176,2
4396.0,1.944176,2
4397.0,1.9414719999999999,2
4398.0,1.9522879999999998,2
4399.0,1.992848,2
4400.0,2.00096,2
4401.0,2.0036639999999997,2
4402.0,2.0388159999999997,2
4403.0,2.0361119999999997,2
4404.0,2.057744,2
4405.0,2.05504,2
4406.0,2.0658559999999997,2
4407.0,2.0631519999999997,2
4408.0,2.0955999999999997,2
4409.0,2.084784,2
4410.0,2.119936,2
4411.0,2.106416,2
4412.0,2.114528,2
4413.0,2.133456,2
4414.0,2.1577919999999997,2
4415.0,2.171312,2
4416.0,2.171312,2
4417.0,2.1821279999999996,2
4418.0,2.1902399999999997,2
4419.0,2.17672,2
4420.0,2.206464,2
4421.0,2.165904,2
4422.0,2.211872,2
4423.0,2.2172799999999997,2
4424.0,2.25784,2
4429.0,1.3033279999999998,2
4430.0,1.327664,2
4431.0,1.32496,2
4432.0,1.32496,2
4433.0,1.354704,2
4434.0,1.357408,2
4435.0,1.3655199999999998,2
4436.0,1.3655199999999998,2
4437.0,1.3790399999999998,2
4438.0,1.3817439999999999,2
4439.0,1.376336,2
4440.0,1.403376,2
4441.0,1.376336,2
4442.0,1.414192,2
4443.0,1.416896,2
4444.0,1.44664,2
4445.0,1.435824,2
4446.0,1.4439359999999999,2
4447.0,1.4574559999999999,2
4448.0,1.465568,2
4449.0,1.4736799999999999,2
4450.0,1.4871999999999999,2
4451.0,1.5007199999999998,2
4452.0,1.506128,2
4453.0,1.508832,2
4454.0,1.5169439999999998,2
4455.0,1.535872,2
4456.0,1.54128,2
4457.0,1.5575039999999998,2
4458.0,1.552096,2
4459.0,1.56832,2
4460.0,1.5791359999999999,2
4461.0,1.587248,2
4462.0,1.600768,2
4463.0,1.611584,2
4464.0,1.611584,2
4465.0,1.6386239999999999,2
4466.0,1.641328,2
4467.0,1.644032,2
4468.0,1.6629599999999998,2
4469.0,1.6683679999999999,2
4470.0,1.6818879999999998,2
4471.0,1.67648,2
4472.0,1.7008159999999999,2
4473.0,1.7116319999999998,2
4474.0,1.7278559999999998,2
4475.0,1.7548959999999998,2
4476.0,1.7413759999999998,2
4477.0,1.765712,2
4478.0,1.765712,2
4479.0,1.765712,2
4480.0,1.795456,2
4481.0,1.8035679999999998,2
4482.0,1.8062719999999999,2
4483.0,1.8252,2
4484.0,1.8333119999999998,2
4485.0,1.841424,2
4486.0,1.871168,2
4487.0,1.857648,2
4488.0,1.868464,2
4489.0,1.900912,2
4490.0,1.8819839999999999,2
4491.0,1.903616,2
4492.0,1.900912,2
4493.0,1.9198399999999998,2
4494.0,1.944176,2
4495.0,1.944176,2
4496.0,1.9604,2
4497.0,1.9820319999999998,2
4498.0,1.9793279999999998,2
4499.0,1.9847359999999998,2
4500.0,2.0036639999999997,2
4501.0,2.01448,2
4502.0,2.00096,2
4503.0,2.0334079999999997,2
4504.0,2.028,2
4505.0,2.0658559999999997,2
4506.0,2.073968,2
4507.0,2.0685599999999997,2
4508.0,2.0955999999999997,2
4509.0,2.1010079999999998,2
4510.0,2.111824,2
4511.0,2.14968,2
4512.0,2.146976,2
4513.0,2.14968,2
4514.0,2.1577919999999997,2
4515.0,2.174016,2
4516.0,2.174016,2
4517.0,2.209168,2
4518.0,2.198352,2
4519.0,2.2308,2
4520.0,2.2470239999999997,2
4521.0,2.268656,2
4522.0,2.260544,2
4523.0,2.2740639999999996,2
4524.0,2.25784,2
4525.0,2.28488,2
4526.0,2.301104,2
4527.0,2.287584,2
4528.0,2.3335519999999996,2
4529.0,2.357888,2
4530.0,2.390336,2
4531.0,2.374112,2
4532.0,2.384928,2
4533.0,2.3632959999999996,2
4534.0,2.512016,2
4535.0,2.5147199999999996,2
4536.0,2.471456,2
4537.0,2.4633439999999998,2
4538.0,2.4903839999999997,2
4540.0,1.476384,2
4541.0,1.479088,2
4542.0,1.4736799999999999,2
4543.0,1.481792,2
4544.0,1.495312,2
4545.0,1.4980159999999998,2
4546.0,1.5007199999999998,2
4547.0,1.481792,2
4548.0,1.4250079999999998,2
4549.0,1.3979679999999999,2
4550.0,1.330368,2
4551.0,1.387152,2
4552.0,1.4087839999999998,2
4553.0,1.538576,2
4554.0,1.5548,2
4555.0,1.587248,2
4556.0,1.584544,2
4557.0,1.5899519999999998,2
4558.0,1.6061759999999998,2
4559.0,1.6034719999999998,2
4560.0,1.627808,2
4561.0,1.630512,2
4562.0,1.644032,2
4563.0,1.6521439999999998,2
